BMI,Gender,Age,Fitness_Level,Goal,Exercise
24.5,Female,18,Advanced,Fat Loss,Running (Treadmill)
22.7,Male,59,Intermediate,Fat Loss,Dumbbell Lunges
32.3,Female,45,Advanced,Strength,Deadlift
20.9,Female,35,Intermediate,Strength,Bench Press
18.0,Female,48,Advanced,Endurance,Air Squats
27.5,Male,35,Advanced,Fat Loss,Jumping Jacks
27.8,Male,55,Beginner,Endurance,Running (Outdoor)
20.2,Male,34,Intermediate,Endurance,Recumbent Bike
34.1,Male,34,Beginner,Endurance,Running (Outdoor)
31.0,Female,32,Intermediate,Strength,Lat Pulldown
24.9,Female,58,Intermediate,Strength,Dumbbell Rows
21.7,Male,55,Beginner,Endurance,Wall Sit
31.7,Male,37,Beginner,Strength,Barbell Squat
20.7,Male,19,Intermediate,Fat Loss,Dumbbell Lunges
29.1,Female,47,Advanced,Fat Loss,Jump Rope
20.8,Male,21,Beginner,Fat Loss,Jumping Jacks
21.9,Female,58,Intermediate,Flexibility,Forward Fold
24.2,Female,25,Intermediate,Endurance,Plank
27.6,Male,58,Advanced,Endurance,Recumbent Bike
32.3,Female,45,Advanced,Strength,Lat Pulldown
30.5,Female,25,Intermediate,Fat Loss,Jump Rope
22.3,Male,46,Advanced,Fat Loss,Burpees
23.5,Male,18,Beginner,Endurance,Battle Ropes
22.5,Female,38,Advanced,Strength,T-Bar Row
27.8,Male,55,Beginner,Endurance,Recumbent Bike
29.5,Female,27,Intermediate,Flexibility,Forward Fold
16.6,Female,58,Advanced,Endurance,Cycling (Outdoor)
31.5,Male,22,Beginner,Endurance,Recumbent Bike
29.9,Female,45,Beginner,Flexibility,Shoulder Pass-Throughs
16.4,Female,34,Beginner,Strength,Dumbbell Rows
17.1,Male,23,Advanced,Endurance,Cycling (Outdoor)
25.2,Female,39,Beginner,Endurance,Plank
26.1,Female,38,Intermediate,Strength,Machine Leg Extension
16.8,Female,59,Intermediate,Fat Loss,Step Ups
22.3,Female,60,Beginner,Strength,Overhead Press
16.6,Male,58,Beginner,Endurance,Push Ups
26.0,Female,47,Intermediate,Strength,Deadlift
28.6,Female,36,Advanced,Flexibility,Spiderman Stretch
29.7,Male,33,Beginner,Endurance,Air Squats
18.6,Male,27,Beginner,Strength,Leg Press
19.4,Female,36,Advanced,Flexibility,Child's Pose
32.2,Male,55,Advanced,Flexibility,Forward Fold
32.3,Female,52,Beginner,Flexibility,Forward Fold
31.0,Male,46,Intermediate,Flexibility,Spiderman Stretch
33.6,Male,53,Beginner,Fat Loss,Jump Rope
32.3,Male,60,Advanced,Strength,Machine Chest Fly
28.8,Male,50,Intermediate,Endurance,Battle Ropes
23.7,Female,20,Intermediate,Fat Loss,Kettlebell Swing
17.9,Female,35,Advanced,Flexibility,Spiderman Stretch
29.2,Female,30,Beginner,Fat Loss,Running (Treadmill)
31.8,Female,22,Intermediate,Endurance,Kettlebell Clean & Press
18.3,Male,54,Intermediate,Strength,Barbell Squat
25.6,Male,51,Beginner,Strength,Pull Ups
32.4,Male,54,Advanced,Flexibility,Shoulder Pass-Throughs
22.7,Male,36,Advanced,Flexibility,Hamstring Stretch (Standing)
25.6,Male,25,Intermediate,Endurance,Battle Ropes
19.6,Male,52,Intermediate,Endurance,Plank
22.3,Male,32,Beginner,Strength,Lat Pulldown
25.6,Male,25,Intermediate,Endurance,Running (Outdoor)
21.8,Female,24,Beginner,Endurance,Air Squats
34.0,Female,51,Intermediate,Fat Loss,Step Ups
30.2,Female,46,Advanced,Endurance,Recumbent Bike
33.0,Female,24,Beginner,Fat Loss,Goblet Squat
32.6,Male,24,Beginner,Fat Loss,Dumbbell Lunges
21.6,Male,25,Intermediate,Strength,Leg Press
15.9,Male,19,Intermediate,Flexibility,Child's Pose
33.1,Female,46,Intermediate,Strength,Machine Leg Extension
17.5,Female,23,Intermediate,Flexibility,Pigeon Pose
17.9,Female,54,Intermediate,Endurance,Kettlebell Clean & Press
25.9,Female,55,Beginner,Flexibility,Shoulder Pass-Throughs
23.0,Female,60,Advanced,Flexibility,Pigeon Pose
34.5,Female,23,Advanced,Strength,Bench Press
18.8,Male,33,Beginner,Strength,Overhead Press
28.4,Male,45,Advanced,Flexibility,Shoulder Pass-Throughs
26.1,Male,46,Advanced,Flexibility,Cat-Cow Stretch
16.3,Female,47,Beginner,Strength,Machine Chest Fly
27.4,Female,56,Advanced,Endurance,Running (Outdoor)
32.8,Female,25,Intermediate,Strength,T-Bar Row
18.0,Female,52,Intermediate,Strength,Pull Ups
17.1,Male,60,Beginner,Fat Loss,Jumping Jacks
23.8,Female,59,Intermediate,Fat Loss,Jump Rope
31.0,Female,57,Beginner,Endurance,Kettlebell Clean & Press
24.5,Female,54,Advanced,Strength,Barbell Squat
19.4,Female,27,Beginner,Endurance,Kettlebell Clean & Press
16.0,Female,48,Advanced,Flexibility,Child's Pose
20.2,Female,19,Advanced,Fat Loss,Dumbbell Lunges
31.5,Male,22,Beginner,Endurance,Plank
33.7,Male,45,Advanced,Flexibility,Child's Pose
21.6,Male,25,Intermediate,Strength,Overhead Press
25.6,Male,51,Beginner,Strength,Dumbbell Rows
22.5,Male,31,Advanced,Strength,Pull Ups
19.4,Male,34,Advanced,Strength,Leg Press
18.9,Male,46,Intermediate,Flexibility,Child's Pose
16.8,Male,23,Advanced,Strength,Dumbbell Rows
16.8,Male,23,Advanced,Strength,Overhead Press
27.1,Female,47,Intermediate,Strength,Lat Pulldown
20.5,Male,59,Intermediate,Endurance,Wall Sit
26.1,Female,20,Advanced,Flexibility,Child's Pose
34.6,Male,38,Intermediate,Flexibility,Pigeon Pose
23.8,Male,48,Intermediate,Flexibility,Cat-Cow Stretch
15.7,Female,18,Intermediate,Flexibility,Forward Fold
30.1,Male,19,Intermediate,Flexibility,Spiderman Stretch
22.7,Male,59,Intermediate,Fat Loss,Dumbbell Lunges
27.1,Female,33,Beginner,Flexibility,Hamstring Stretch (Standing)
24.5,Female,18,Advanced,Fat Loss,Running (Treadmill)
19.2,Male,47,Beginner,Endurance,Wall Sit
18.3,Female,55,Beginner,Fat Loss,Dumbbell Lunges
31.4,Male,19,Advanced,Endurance,Battle Ropes
30.7,Female,57,Beginner,Fat Loss,Jump Rope
26.3,Male,25,Beginner,Strength,Bench Press
24.1,Male,21,Advanced,Endurance,Battle Ropes
24.0,Male,36,Intermediate,Strength,Deadlift
27.3,Male,51,Beginner,Endurance,Plank
22.0,Male,57,Beginner,Endurance,Air Squats
32.7,Male,24,Beginner,Flexibility,Forward Fold
17.8,Male,23,Intermediate,Fat Loss,Jumping Jacks
29.3,Female,55,Beginner,Endurance,Battle Ropes
16.8,Male,22,Advanced,Flexibility,Hamstring Stretch (Standing)
19.7,Male,18,Advanced,Flexibility,Forward Fold
28.7,Female,21,Beginner,Strength,Dumbbell Rows
18.0,Female,21,Advanced,Endurance,Wall Sit
28.0,Female,56,Intermediate,Flexibility,Deep Squat Hold
20.6,Male,37,Beginner,Strength,Pull Ups
16.1,Female,57,Advanced,Flexibility,Pigeon Pose
20.6,Male,57,Intermediate,Fat Loss,Kettlebell Swing
28.0,Female,56,Intermediate,Flexibility,Pigeon Pose
18.3,Male,54,Intermediate,Strength,Deadlift
17.9,Female,35,Advanced,Flexibility,Pigeon Pose
25.2,Female,39,Beginner,Endurance,Plank
16.6,Female,35,Advanced,Strength,Leg Press
18.5,Female,23,Beginner,Strength,T-Bar Row
22.5,Female,38,Advanced,Strength,Lat Pulldown
24.0,Male,36,Intermediate,Strength,Barbell Squat
16.5,Male,49,Beginner,Endurance,Wall Sit
25.8,Male,32,Beginner,Flexibility,Deep Squat Hold
31.1,Female,49,Advanced,Flexibility,Hamstring Stretch (Standing)
22.3,Male,22,Beginner,Fat Loss,Mountain Climbers
27.1,Female,20,Advanced,Endurance,Air Squats
20.7,Male,20,Beginner,Flexibility,Shoulder Pass-Throughs
31.0,Male,58,Beginner,Fat Loss,Burpees
16.4,Female,34,Beginner,Strength,Overhead Press
20.1,Female,57,Advanced,Strength,Machine Chest Fly
19.6,Male,52,Intermediate,Endurance,Air Squats
25.3,Male,22,Intermediate,Strength,T-Bar Row
19.6,Female,59,Advanced,Strength,Deadlift
28.2,Male,45,Beginner,Flexibility,Spiderman Stretch
20.6,Male,37,Beginner,Strength,Machine Chest Fly
23.1,Female,38,Advanced,Strength,Machine Leg Extension
34.2,Male,27,Advanced,Flexibility,Child's Pose
19.4,Female,27,Beginner,Endurance,Push Ups
25.2,Female,32,Advanced,Fat Loss,Jumping Jacks
34.3,Male,59,Beginner,Fat Loss,Running (Treadmill)
25.6,Male,52,Intermediate,Endurance,Recumbent Bike
30.3,Male,59,Beginner,Flexibility,Spiderman Stretch
18.3,Male,54,Intermediate,Strength,Lat Pulldown
34.1,Female,46,Intermediate,Endurance,Kettlebell Clean & Press
33.4,Male,60,Intermediate,Strength,Deadlift
34.8,Male,35,Beginner,Strength,Bench Press
23.5,Female,27,Advanced,Endurance,Air Squats
16.6,Male,58,Beginner,Endurance,Plank
24.9,Male,45,Beginner,Flexibility,Shoulder Pass-Throughs
32.6,Male,24,Beginner,Fat Loss,Elliptical Trainer
30.4,Male,22,Intermediate,Fat Loss,Jumping Jacks
27.4,Male,26,Beginner,Strength,Machine Chest Fly
27.4,Male,26,Beginner,Strength,Machine Chest Fly
32.3,Male,30,Intermediate,Fat Loss,Burpees
29.1,Male,22,Intermediate,Flexibility,Forward Fold
31.0,Female,32,Intermediate,Strength,Machine Leg Extension
32.0,Male,30,Beginner,Flexibility,Hamstring Stretch (Standing)
29.2,Female,26,Beginner,Endurance,Battle Ropes
22.3,Female,53,Advanced,Strength,Machine Leg Extension
